name,density,gravity,temperature,semi_major_axis,inclination,rotation_period,orbital_period,axial_tilt,mass,radius,eccentricity,body_type
Sun,1.41,274.0,5778.0,0.0,0.0,660.0,0,7.25,333000,109.0,0,Star
Mercury,5.43,3.7,440.0,0.39,7.0,1407.6,88,0.034,0.055,0.383,0.205,Planet
Venus,5.24,8.87,737.0,0.72,3.4,-5832.0,225,177.4,0.815,0.949,0.007,Planet
Earth,5.51,9.81,288.0,1.0,0.0,24.0,365.25,23.44,1.0,1.0,0.017,Planet
Mars,3.93,3.71,210.0,1.52,1.85,24.6,687,25.19,0.107,0.532,0.094,Planet
Jupiter,1.33,24.79,165.0,5.2,1.3,9.9,4333,3.13,317.8,11.209,0.049,Planet
Saturn,0.69,10.44,134.0,9.58,2.49,10.7,10759,26.73,95.2,9.449,0.057,Planet
Uranus,1.27,8.87,76.0,19.2,0.77,-17.2,30685,97.77,14.5,4.007,0.046,Planet
Neptune,1.64,11.15,72.0,30.1,1.77,16.1,60190,28.32,17.1,3.883,0.010,Planet
Pluto,1.85,0.62,44.0,39.48,17.16,-153.3,90560,119.6,0.00218,0.187,0.249,DwarfPlanet
Eris,2.3,0.77,42.0,67.67,44.04,14.56,204000,78.3,0.0028,0.182,0.436,DwarfPlanet
Haumea,2.6,0.35,50.0,43.13,28.21,3.92,103410,126.4,0.00066,0.105,0.191,DwarfPlanet
Makemake,2.1,0.4,40.0,45.79,29.01,22.5,111845,0.0,0.00052,0.112,0.159,DwarfPlanet
Gonggong,1.74,0.18,44.0,66.89,30.87,22.4,205000,0.0,0.00037,0.095,0.502,DwarfPlanet
Ceres,2.16,0.28,168.0,2.77,10.59,9.07,1682,4.0,0.000157,0.074,0.079,DwarfPlanet
Orcus,1.4,0.2,44.0,39.42,20.59,13.2,90465,0.0,0.00026,0.090,0.227,DwarfPlanet
Sedna,0,0,0,0,0,0,4404480,0.0,0.00023,0.085,0.844,DwarfPlanet
Luna,0,0,0,0,0,0,27.3,6.68,0.0123,0.273,0.055,Moon
Titan,0,0,0,0,0,0,15.95,0.0,0.0225,0.404,0.029,Moon
Ganymede,0,0,0,0,0,0,7.15,0.0,0.0248,0.413,0.001,Moon
Callisto,0,0,0,0,0,0,16.69,0.0,0.018,0.378,0.007,Moon
Io,0,0,0,0,0,0,1.77,0.0,0.015,0.286,0.004,Moon
Europa,0,0,0,0,0,0,3.55,0.0,0.008,0.245,0.009,Moon
Triton,0,0,0,0,0,0,5.88,0.0,0.00359,0.212,0.0,Moon
Charon,0,0,0,0,0,0,6.39,0.0,0.000258,0.095,0.0002,Moon
Enceladus,0,0,0,0,0,0,1.37,0.0,0.000018,0.040,0.0047,Moon
Rhea,0,0,0,0,0,0,4.52,0.0,0.0000408,0.053,0.001,Moon
Dione,0,0,0,0,0,0,2.74,0.0,0.0000185,0.044,0.002,Moon
Oberon,0,0,0,0,0,0,13.46,0.0,0.0000503,0.059,0.001,Moon
Titania,0,0,0,0,0,0,8.71,0.0,0.0000588,0.062,0.001,Moon
Vesta,3.46,0.22,200.0,2.36,7.14,5.34,1325,29.0,0.0000446,0.041,0.089,Asteroid
Pallas,2.9,0.18,170.0,2.77,34.84,7.81,1686,60.0,0.0000359,0.035,0.231,Asteroid
Hygiea,2.06,0.1,163.0,3.14,3.83,13.83,2029,0.0,0.0000179,0.030,0.117,Asteroid
Juno,3.15,0.11,163.0,2.67,12.99,7.21,1593,0.0,0.0000032,0.019,0.257,Asteroid
Eros,2.67,0.005,280.0,1.46,10.83,5.27,643,0.0,0.000000067,0.005,0.223,Asteroid
Bennu,1.19,6e-05,259.0,1.13,6.03,4.3,437,0.0,0.0000000085,0.0004,0.204,Asteroid
Itokawa,1.95,0.0001,250.0,1.32,1.62,12.13,556,0.0,0.000000003,0.0003,0.280,Asteroid
Ryugu,0,0,0,0,0,0,474,0.0,0.0000000045,0.0004,0.190,Asteroid
Psyche,4.5,0.06,200.0,2.92,3.1,4.2,1825,0.0,0.0000136,0.022,0.134,Asteroid
Apophis,2.6,0.001,280.0,0.92,3.34,30.5,324,0.0,0.0000000061,0.0004,0.191,Asteroid
Halley,0.6,0.0004,180.0,17.83,162.26,52.8,27375,112.0,0.00000000023,0.00087,0.967,Comet
Churyumov,0,0,0,0,0,0,2379,0.0,0.0000000023,0.00203,0.641,Comet
Tempel1,0,0,0,0,0,0,2068,0.0,0.000000012,0.00267,0.517,Comet
Wild2,0,0,0,0,0,0,2304,0.0,0.0000000023,0.00174,0.540,Comet
Oumuamua,1.5,1e-05,280.0,0.0,122.74,8.1,0,0.0,0.0,0.0001,1.20,Interstellar
Borisov,0,0,0,0,0,0,0,0.0,0.0,0.0007,3.36,Interstellar
Curiosity,0.9,3.71,210.0,1.52,1.85,24.6,1.03,25.19,1.5e-22,0.0000028,0.094,Spacecraft
Cassini,1.1,10.44,134.0,9.58,2.49,10.7,0.44,26.73,9.7e-22,0.0000033,0.057,Spacecraft
Hubble,1.0,9.81,288.0,1.0,28.5,0.0264,0.0264,0.0,2.0e-22,0.0000021,0.0003,Spacecraft
Voyager,0.8,0.00001,40.0,156.0,35.68,0.0,0.0,0.0,2.6e-23,0.0000019,3.8,Spacecraft
ApolloLM,0.9,9.81,288.0,1.0,5.14,655.7,0.0748,6.68,6.8e-23,0.0000024,0.0549,Spacecraft
